Id;Text
1;I  accidentally-on-purpose erased his email  address, so I couldn't contact him again.
2;He forgot their wedding  anniversary, and his apologies only added  fuel to the flames
3;Of course I want to know  - I'm all ears!
4;I had to get up in the  middle of the night to answer the call of  nature.
5;I can't stand backseat  drivers like my mother-in-law!
6;Sophie badgered her  parents into buying her a new computer.
7;"Many people, especially  women,&nbsp; have to perform a balancing act  between work and family.&nbsp;"
8;"Mike couldn't keep  things to himself any longer. He decided to  bare his soul to his best friend.&nbsp;"
9;The police are barking  up the wrong tree if they think Joey stole  the car - he can't drive!
10;The thief beat a hasty  retreat as soon as he saw the security  officer.
11;Your best bet would be  to try calling him at home.
12;He's not hesitating,  he's just biding his time, waiting for the  price to drop.
13;"Binge drinking is  becoming a major problem in some European  countries.&nbsp;"
14;If you say bad things  about the person who gives you a job, you  bite the hand that feeds you.
15;He blotted his copy-book  when he was arrested for speeding.
16;John went on the bottle  when he lost his job.
17;Our competitors obtained  the contract by breaking every rule in the  book.
18;"The atmosphere at work  is not great; the boss keeps breathing down<br/>  our necks all the time."
19;A mediator is trying to  build bridges between the local community  and the owners of the new plant.
20;"If you refuse the offer,  be careful not to burn your bridges by  insulting them.&nbsp; They may make a better  proposal later."
21;Scott looks exhausted -  I'll bet he's been burning the candle at  both ends lately.
22;It's no good burying  your head in the sand. We've got a problem  on our hands.
23;I didn't agree with my  colleague's decision, but for the sake of  peace I decided to bury the hatchet.
24;He was so keen to get  the job that he spent his time buttering up  the boss.
25;They went to the  teacher, cap in hand, and asked for more  time to complete their project.
26;Some parents use a  carrot-and-stick approach to obtain good  results from their children.
27;I may not be able to get  through the traffic, but I'll take a chance  on it.
28;Tony knew there was  little hope of getting into Harvard but he  decided to chance his arm anyway.
29;Referring to Tom as an  'unqualified speaker' was really a cheap  shot.
30;As I explained to the  bus driver what had happened, the other  passengers chimed in and gave their version.
31;Taking away his credit  card is a sure way to clip his wings.
32;Bob has had so many  problems lately, he's coming apart at the  seams.
33;As soon as we added the  swimming pool, our children had 'friends'  coming out of the woodwork!
34;I can't paint with  people watching me - it cramps my style!.
35;After careful  consideration, he decided to stop teaching  and open an art gallery, knowing that he was  crossing the Rubicon.
36;OK. It's time to cut the  cackle and get down to business
37;She's rich and famous  and expects everyone to dance attendance on  her.
38;If you drop out of  college now, with such high unemployment,  you'll be digging your own grave.
39;After being accused of  embezzlement, the director disappeared into  thin air.
40;"Tony accepted the  project without realizing the time it would  take; he always dives in headfirst!"
41;Just before the police  arrived, the suspect did a disappearing act.
42;Just before the rent was  due he did a moonlight flit.
43;Giving him money did  more harm than good - he spent it on  alcohol.
44;Mike is a great guy -  always ready to do a good turn.
45;Wearing jeans to play  golf is not the done thing.
46;The government is  dragging its feet on measures to reduce  pollution.
47;"There goes Jack dropping  names again.&nbsp; People will get tired of  listening to him!"
48;He had no option but to  eat crow and admit that his analysis was  wrong.
49;As a consequence of the  strike, the employees had to eat dirt.
50;I stock up with food  when my teenage sons invite their friends  over. They'd eat you out of house and home!
51;She is so persuasive  that she has people eating out of her hand  in no time.
52;His speech about  creating an association to help the  underprivileged was one long ego trip.
53;When I'm not sure how  much food to prepare, I tend to err on the  side of caution and prepare far too  much.
54;He's a bloody nuisance,  if you'll excuse my French.
55;Sally's mother fell over  backwards to make her wedding reception a  memorable event.
56;He is under close  surveillance. If he makes one false move  he'll be arrested.
57;Come on! Every little  helps. You should feed the kitty for a good  cause!
58;His visit to the trade  fair was 'fiddling while Rome burns'  according to the strikers
59;The headmaster is  fighting a losing battle trying to ban  mobile phones at school.
60;He had money problems  for years but he fought shy of asking his  children for help.
61;I know why she invited  us to her new house - she's just fishing for  compliments.
62;Ever since she flung  herself in the anti-pollution campaign, she  rarely has a free moment!
63;The station is at the  end of the road - just follow your nose.
64;Lily followed in her her  mother's footsteps and became a teacher.
65;He fouled his own nest  by wrongly accusing his boss.
66;Pablo was treated  unfairly. He was frozen out of the project  by the rest of the team.
67;Is Bill coming back for  the closing speech or has he taken French  leave?
68;"So you got the job - I'm  so sad ...&nbsp; Sorry, I mean 'glad'!"
69;We need volunteers to  keep an eye out for gatecrashers tonight.
70;He got on his high horse  when he was asked to show his membership  card.
71;After giving my opinion,  he gave me the cold shoulder.
72;Susan says the pupils in  her new school are giving her a hard time.
73;We didn't win the match  but we gave the other team a run for their  money
74;I'm trying to contact  the manager, but every time I call the firm  I'm given the run-around.
75;"Mike would give the  shirt off&nbsp; his back to help a friend in  difficulty."
76;The police were on his  trail, but he managed to give them the slip.
77;People who always arrive  late should be given a taste of their own  medicine.
78;After his wife died, he  tried to continue life as before, but he  just went through the motions.
79;Stealing is bad, but  stealing from a poor person is really going  too far!
80;At the start of every  new collection my imagination goes into  overdrive.
81;Sometimes when he's  teaching, he goes off on a tangent and  starts talking about his dog!
82;Given the unstable  environment, it's a miracle that none of  their children ever went off the rails.
83;<em>Aunt Betty went out  of her way to make us feel comfortable</em>
84;"My parents tend to go to  extremes.&nbsp; They live on a tight budget and  then they go on expensive holidays!"
85;Jack nearly went to  pieces when his son died in a car crash.
