Id;IdiomText;Defenition
1;accidentally on  purpose;If you do something  intentionally, but pretend it was an  accident, you do it <em>accidentally on  purpose.</em>  <br/>
2;add fuel to the flames;If you<em> add fuel to the flames</em>, you  do or say something that makes a difficult  situation even worse.<br /> .
3;all ears;To say that you are<em> all ears</em>  means that you are listening very  attentively.<br />
4;answer call of nature nature's call;When a person <em>answers the call of  nature</em>, they go to the toilet.<br />
5;backseat driver;A passenger in a car who gives unwanted  advice to the driver is called a <em> backseat driver.<br /> </em>
6;badger someone;If you <em>badger someone </em>into  doing something, you persistently nag or  pester them until you obtain what you want.<br />
7;balancing act;When you try to satisfy two or more  people or groups who have different needs,  and keep everyone happy, you perform a <em> balancing act.</em><br/>
8;bare your heart / soul;If you <em>bare you soul</em> (or heart)  to someone, you reveal your innermost  thoughts and feelings to them.<br/>
9;bark up wrong tree;"A person who is <em>barking up the wrong  tree</em> is doing the wrong thing, because  their beliefs or ideas are incorrect or  mistaken.&nbsp;<br />"
10;beat a (hasty) retreat;Someone who<em>  beats a (hasty) retreat</em> runs away or  goes back hurriedly to avoid a dangerous or  difficult situation.<br />
11;one's best bet;The action most likely to succeed is  called one's <em>best bet.<br /> </em>
12;bide your time;If you <em>bide your time</em>, you wait  for a good opportunity to do something.<br />
13;binge drinking;This term refers to heavy drinking where  large quantities of alcohol are consumed in  a short space of time, often among young  people in rowdy groups.<br />
14;bite hand that feeds you;If you<em> bite the hand that feeds you</em>,  you are unfriendly or do harm to someone who  is kind to you.<br />
15;blot one's copy book;Someone who <em> blots their copy-book</em> does something to  spoil their good record or reputation.<br />
16;on the bottle;A person who drinks  alcohol often and regularly is <em>on the  bottle</em>.<br />
17;break every rule in the book;If you behave in a completely unacceptable  way, you <em>break every rule in the book.</em><br />
18;breathe down neck;If someone is<em>  breathing down your neck</em>, they are  watching you too closely and making you feel  uncomfortable.<br />
19;build bridges;If a person<em>  builds bridges</em> between opposing groups,  they help them to cooperate and understand  each other better.<br />
20;burn your bridges;If you <em>burn your bridges</em>, you do  something that will be impossible to rectify  in the future.<br />
21;burn the candle at both ends;If you <em>burn the candle at both ends</em>,  you exhaust yourself by doing too much,  especially going to bed late and getting up  early.<br />
22;burn your fingers;"If you <em>burn your fingers</em> (or<em>  <span class=`""text-390-left`"">get your fingers  burnt</span></em><span  class=`""text-390-left`"">),  you suffer financially as a result of  foolish behaviour.<br /> Jack got his fingers burnt playing on the  stock market.</span>"
23;bury head in sand;If you <em>bury your head in the sand</em>,  you refuse to face the unpleasant reality by  pretending that the situation doesn't exist.<br/>
24;bury the hatchet;When people who have had a disagreement  decide to forget their quarrel and become  friends again, they<em> bury the hatchet</em>.<br />
25;butter somebody up;When you <em>butter someone up,</em> you  flatter them or you are very nice to them,  especially if you want to obtain something.<br />
26;cap in hand;If you do something<em>  cap in hand</em>, you ask for something in a  very respectful manner.<br />
27;carrot and stick;If you use a<em>  carrot-and-stick approach</em>, you use the  promise of reward and the threat of  punishment to make someone work harder.<br />
28;"chance something /
 take a chance on";If you <em>take a chance</em> on something,  you take action in the hope of success even  though you know that the result may be  negative.<br />
29;chance one's arm;"If you <em>chance your&nbsp; arm</em>, you decide  to do something even though there is little  hope of success.<br />"
30;cheap shot;A cruel, unfair or unwarranted comment or  verbal attack is called a <em>cheap shot.</em><br />
31;chime in;If you<em> chime in</em>, you interrupt or  join a conversation, especially to repeat or  agree with something.<br />
32;clip someone's wings;If you <em>clip someone's wings</em>, you do  something to restrict their freedom.<br />
33;come apart at the seams;To say that someone  is <em>coming apart at the seams</em> means  that they are extremely upset or under  severe mental stress.<br />
34;come out of woodwork;When things, or people,<em> come out of the  woodwork</em>, they appear or emerge  unexpectedly, as if from nowhere, and  usually in large numbers.<br />
35;cramp someone's style;If you<em> cramp someone's style</em> you do  something to prevent them from behaving  freely, or performing to the best of their  ability. <br />
36;cross the Rubicon;If you <em>cross the Rubicon</em>, you make  an irreversible decision or commit to a  course of action that cannot be changed.<br />
37;cut the cackle;If you tell a group of people to <em>cut the  cackle</em>, you are asking them <br/>to  stop talking aimlessly and start dealing  with more important or serious matters.<br />
38;dance attendance;If you <em>dance attendance </em>on  somebody, you are constantly available for  that person and attend to their wishes.<br />
39;dig one's own grave;A person who <em>digs their own grave</em>  does something which causes their own  downfall.<br />
40;disappear into thin air;If someone or something<em> disappears into  thin air</em>, they vanish in a mysterious  way.<br />
41;dive in headfirst;If you begin something enthusiastically,  without thinking about the possible  consequences, you <em> dive in headfirst.</em><br />
42;do a disappearing act;If someone <em>does a disappearing act</em>,  they simply vanish, especially if they have  done something wrong or dishonest.<br />
43;do a moonlight flit;Someone who <em> does a moonlight flit</em> leaves a place  quickly and in secret, usually to avoid  paying debts.<br />
44;do more harm than good;If the effect of an action is more damaging  than helpful, it <em> does more harm than good.</em><br />
45;do a good turn;"If you <em>do</em> <em>someone a good turn,</em> you act in  a&nbsp;helpful way.<br />"
46;the done thing;The correct way to behave in a particular  social situation is called the <em>done  thing.<br /> </em>
47;drag your feet;If you<em> drag your feet,</em> you delay a  decision or participate without any real  enthusiasm.<br />
48;drop names;When you drop names, you mention the names  of famous people you know or have met in  order to impress others.<br />
49;eat crow;If you<em> eat crow</em>, you admit that you  were wrong about something and apologize.<br />
50;eat dirt;If you<em> eat dirt,</em> you are forced to  accept another person's bad treatment or  insulting remarks.<br />
51;eat out of house and home;This is a humorous  way of saying that someone is eating large  quantities of your food.<br />
52;eat out of someone's hand;If you <em>eat out of somebody's hand</em>,  you are eager to please and will accept to  do anything that person asks.<br />
53;ego trip;If you do something primarily to draw  attention to yourself and feel important or  superior to others, you are <em>on an ego  trip.<br /> </em>
54;err on side of caution;When uncertain about what to do, if you <em> err on the side of caution </em>you do more  than what is adequate rather than take any  risks.<br />
55;excuse/pardon my French;This expression is used as an apology for  using crude or offensive language.<br />
56;fall over backwards;If you <em>fall over backwards</em> to  accomplish something, you do everything you  possibly can to please and impress.<br />
57;false move;In a dangerous or risky situation, if you  make a<em> false move</em>, you do something  which may have unpleasant consequences.<br />
58;feed the kitty;If you<em> feed the kitty</em>, you  contribute to a collection of money called a  'kitty' in order to help a good cause.<br />
59;fiddling while Rome burns;To say that someone is<em> fiddling while  Rome burn</em>s means that they are doing  unimportant things while there are serious  problems to be dealt with.<br /> .
60;fight a losing battle;If someone is <em> fighting a losing battle</em>, they are  trying to do something even when there is  little chance of succeeding.<br />
61;fight shy;If you<em> fight shy </em>of something, such  as a task, a problem or a duty, you want to  avoid doing it or you are unwilling to  confront it.<br />
62;fish for compliments;When someone is obviously waiting for you to  say something nice, they are <em>fishing for  compliments.</em><br />
63;fling oneself into something;If you<em> fling yourself into</em> an  activity, you do it with a lot of energy and  enthusiasm.<br />
64;follow one's nose;If you<em> follow your nose</em>, you go  straight ahead.<br /> This can also mean to follow your instinct  in life.<br />
65;follow in someone's footsteps;If you <em>follow in someone's footsteps</em>,  for example a parent, you lead a similar  life or do the same job.<br />
66;foul one's own nest;If you act in a way that harms your own  interests, your position or your reputation,  you<em> foul your own nest</em>.<br />
67;freeze somebody out;If you deliberately isolate someone or  prevent them from participating in a social  or business activity by treating them  unfairly or harshly, you<em> freeze them out</em>.<br />
68;french leave;If you leave an official or social event  without notifying the person who invited  you, you<em> take French leave.</em><br />
69;freudian slip;A Freudian slip is a  mistake made by a speaker which is  considered to reveal their true thoughts or  feelings.<br />
70;gatecrash;If someone <em> gatecrashes,</em> they attend a private  social event without being invited.<br />
71;get on your high horse;If you <em>get on your high horse,</em> you  start behaving in a haughty manner, as  though you should be treated with more  respect.<br />
72;give as good as you get;This expression means that you are prepared  to treat people as badly as they treat you,  and fight for your beliefs.
73;give the cold shoulder;To <em>give someone the cold shoulder </em> means to deliberately ignore them.<br />
74;give a hard time;If you <em>give someone a hard time</em>,  you annoy them or make things difficult for  them.<br />
75;give a run for money;If you <em>give  someone a run for their money</em>, you  present strong competition in circumstances  where the other person expects to win  easily.<br /> .
76;give the run-around;If someone <em> gives you the run-around</em>, they  deliberately give you confusing information  or evasive answers.<br />
77;give shirt off one's back;This expression is used to describe a  kind-hearted or generous person who would  give you anything he/she owns to help you.<br />
78;give the slip;If you<em> give the slip</em> to somebody  who is following you, you manage to hide or  get away from them.<br />
79;give taste of own medicine;If you give someone<em>  a taste of their own medicine, </em>you  treat them in the same unpleasant way that  they have treated you.<br />
80;go through motions;If someone <em>goes through the motions</em>,  they do something because they have to, but  without enthusiasm.<br />
81;go too far;If you <em>go too far</em>, you do something  that is considered extreme or unacceptable.<br />
83;go into overdrive;If someone or something <em>goes into  overdrive</em>, they begin to work very hard  or start to perform intensely.<br />
84;go off on a tangent;If someone <em>goes off on a tangent</em>,  they change the subject completely in the  middle of a speech or conversation.<br />
85;go off the rails;If someone<em> goes off the rails</em>, they  go out of control and begin to behave in a  manner that is unacceptable to society.<br />
86;go out of your way;If you <em>go out of your way</em>, you take  particular care or make a special effort  when doing something.<br /> .
87;go to extremes;People who <em>go to extremes</em> behave in  a way that lacks moderation.<br />
88;go to pieces;If you <em>go to pieces,</em> for example  after a terrible shock, you are so upset or  distressed that you cannot lead a normal  life.<br />
89;go with the flow;If you <em>go with the flow</em>, you follow  the general tendency and go along with  whatever happens.<br />
90;grease the skids;When you<em> grease the skids</em>, you  facilitate something or smooth the way for  its success.<br />
91;grin and bear it;When faced with a difficult or unpleasant  situation, if you say that someone will <em> have to grin and bear it</em>, you mean that  they will have to accept it without  complaining.<br />
92;groan inwardly;"If you <em>groan&nbsp;inwardly,</em> you feel  like expressing despair, disapproval or  distress, but you remain silent.<br />"
93;haul over the coals;If you <em>haul someone over the coals,</em>you  reprimand them harshly because they have  done something wrong or incorrectly.<br />
94;have one too many;Someone who <em>has one too many,</em> has  drunk too much alcohol.<br />
95;have the nerve;If you do something rude, impudent or  inappropriate, without any embarrassment or  shyness, it is said that you <em>have the  nerve</em> to do it.<br />
96;have a stab at;If you <em>have a  stab at something</em>, you try something  that you have never had a chance to do  before.<br />
97;help a lame dog;If you <em>help a lame dog over a stile,</em> you help someone who is in difficulty or  trouble.<br />
98;herd mentality;People with the <em> herd mentality </em>tend to do what everyone  else does, no matter how ridiculous or  stupid.<br />
99;hit below the belt;If you do something considered to be unfair,  or make a cruel remark, you <em>hit below  the belt.</em><br />
100;hit the panic button;When you <em>hit or press the panic button</em>,  you raise the alarm too quickly or react too  hastily in a difficult or stressful  situation.<br />
101;hold the fort;When you <em>hold the fort,</em> you look  after a place or a business in the absence  of the person who is normally in charge.<br />
102;hold one's own;If you can <em>hold your own</em>, you are  well able to defend yourself when under  attack.<br />
103;hue and cry;If there is <em>a hue and cry </em>about  something, there is loud opposition to it.<br />
104;jump in the deep end;When you<em> jump in (</em>or are<em>  thrown in) at the deep end,</em> you do  something without any help or preparation,  in an area where you have little or no  experience.<br />
105;keep one's feet on the ground;A person who <em>keeps their feet on the  ground </em>continues to act in a sensible  and practical way, even if they become  successful.<br /> .
106;keep fingers crossed;If you <em>keep your fingers crossed, </em>you hope that something will be  successful.<br />
107;keep a level head;"If you <em>keep a level head,</em>&nbsp; you  remain calm and sensible no matter&nbsp; how  difficult or distressful the situation may  be.<br />"
108;keep nose clean;A person who <em>keeps their nose clean</em>  behaves well and avoids trouble.<br />
109;keep nose to grindstone;"A person who<em>  keeps their nose to the grindstone</em> is  someone who concentrates on working&nbsp; or  studying hard.<br />"
110;keep someone posted;If someone asks you to <em>keep them posted,</em>  they want you to keep them informed about a  situation.<br />
111;keep in proportion;If you react to a situation in a sensible  way, without exaggerating the importance or  seriousness of the facts, you <em>keep things in proportion.<br /> </em>
112;kick up a fuss;A person who <em> kicks up a fuss</em>  creates a disturbance, especially by  complaining or protesting about something.<br />
113;kill two birds with one stone;If you<em> kill two  birds with the one stone</em>, you succeed  in doing two things at the same time.<br />
114;kill with kindness;When you are  excessive in your efforts to be helpful or  generous, you can harm someone, or <em>kill  them with kindness.</em><br />
115;lash out;If you<em> lash out</em> at somebody, you  attack them, usually verbally.<br />
116;laugh something off;When you laugh about something that has  upset or hurt you, to make it seem less  important or to try to show that you do not  care, you<em> laugh it off.</em><br />
117;laugh up your sleeve;If you<em> laugh up your sleeve</em>, you  are secretly amused at another person's  problems or difficulties.<br />
118;leave well alone;If you <em>leave well alone</em>, you decide  not to interfere with or change something  that is acceptable or adequate.<br />
119;lend oneself to;If you<em> lend yourself to something</em>,  you approve of it or become associated with  it.<br />
120;let off steam;A person who<em> lets off steam</em>  releases surplus energy or strong feelings  either through intense physical activity or  by talking in an unrestrained manner.<br />
